Literature data from J. Rapaport et al (1980)
Sn116(n,n) [24 MeV]
Degrees    mB/sr      Error (mB/sr)
 15.1      2592.      130.
 20.2      685.3      34.3
 25.2      98.56      4.97
 30.2      51.38      3.63
 32.8      62.31      3.12
 35.3      61.19      3.06
 37.8      45.41      2.27
 40.3      28.67      1.43
 42.8      19.92      1.20
 45.3      13.81      0.990
 47.9      27.97      1.40
 50.4      38.94      1.94
 55.4      67.97      3.40
 60.4      60.58      3.03
 65.4      38.40      1.92
 70.5      24.99      1.25
 75.5      23.36      1.17
 80.5      27.39      1.37
 85.5      25.51      1.28
 90.5      20.30      1.02
 95.5      12.10      0.650
100.5      8.150      0.510
105.5      8.820      0.500
110.5      11.28      0.570
115.4      9.650      0.530
120.4      6.650      0.420
125.4      3.850      0.380
130.4      2.700      0.290
135.3      4.080      0.440
140.3      4.980      0.400
145.3      3.260      0.320
150.2      1.680      0.250
155.2      3.800      0.490
