Literature data from J. Rapaport et al (1980)
Sn118(n,n) [24 MeV]
 Degrees    mB/sr       Error (mB/sr)
 15.1      2592.      5.80
 20.2      788.7      7.60
 25.2      106.1      5.00
 30.2      48.00      0.700
 35.3      59.80      0.700
 40.3      26.60      0.600
 45.3      21.00      0.300
 50.4      52.80
 55.4      70.40      0.100
 60.4      57.90      0.600
 65.4      36.30      0.200
 70.5      17.50      0.100
 75.5      22.60      0.500
 80.5      27.10      0.600
 85.5      25.90      0.600
 90.5      16.80      0.200
 95.5      11.50      0.760
100.5      7.570      0.550
105.5      6.330      0.850
110.5      9.730      0.720
115.4      12.00      0.300
120.4      6.710      0.800
125.4      4.600      0.760
130.4      3.810      0.490
140.3      5.450      0.530
