Literature data from J. Rapaport et al (1980)
Sn124(n,n) [11 MeV]
 Degrees    mB/sr       Error (mB/sr)
 15.1       3777.       113.
 20.2       2150.       64.5
 25.2       902.4       30.7
 30.2       294.3       8.83
 35.3       73.97       2.22
 40.3       86.31       2.59
 45.3       162.6       4.88
 50.3       190.1       5.70
 55.4       173.0       5.19
 60.4       123.0       3.69
 65.4       70.57       2.12
 70.4       31.02       0.930
 75.4       12.79       0.790
 80.5       9.160       0.390
 85.5       12.79       0.540
 90.5       18.88       0.750
 95.5       24.17       0.770
100.5       27.16       0.830
105.4       25.68       0.930
110.4       18.71       0.790
115.4       11.12       0.590
120.4       6.150       0.290
125.4       6.760       0.340
130.3       11.51       0.540
135.3       15.59       0.640
140.3       16.05       0.650
145.3       12.33       0.510
150.2       11.52       0.470
