Literature data from J. Rapaport et al (1980)
Sn124(n,n) [24 MeV]
 Degrees    mB/sr       Error (mB/sr)
 15.1       2800.       168.
 20.2       729.4       43.8
 25.2       92.01       5.54
 30.2       44.20       3.86
 35.3       47.02       4.55
 40.3       22.16       1.57
 45.3       17.80       2.23
 50.3       55.01       3.20
 55.4       79.05       4.72
 60.4       53.67       6.10
 65.4       36.22       2.19
 70.4       21.39       2.10
 75.4       26.68       1.63
 80.5       32.21       1.93
 85.5       23.83       1.45
 90.5       19.85       1.44
 95.5       13.24       1.19
100.5       11.37       0.980
105.4       9.850       1.62
110.4       11.86       1.22
115.4       10.13       1.20
120.4       6.540       0.720
125.4       4.380       0.580
130.3       5.170       0.860
140.3       5.490       0.990
